time,joint1,joint2,joint3,joint4,joint5,joint6
1749190055.4676747,0.0,0.0,-0.0,0.0,0.0,0.0
1749190055.9260383,0.0,0.0,-0.0,0.0,0.0,0.0
1749190056.4513729,0.0,0.0,-0.0,0.0,0.0,0.0
1749190056.9072924,0.0,0.0,-0.0,0.0,0.0,0.0
1749190057.3677392,0.0,0.0,-0.0,0.0,0.0,0.0
1749190057.8948362,0.0,0.0,-0.0,0.0,0.0,0.0
1749190058.3508677,0.0,0.0,-0.0,0.0,0.0,0.0
1749190058.8090253,0.0,0.0,-0.0,0.0,0.0,0.0
1749190059.270741,0.0,0.0,-0.0,0.0,0.0,0.0
1749190059.8545883,-0.00015339808305725455,0.0010546118719503284,-0.0024208135437220335,0.0002636529679875821,-0.0002636529679875821,-0.0003115898580290377
1749190060.3307667,-5.752428114647046e-05,-0.00013422331539914012,-0.002588592702522874,-0.0001917476038215682,-0.00014381069922819734,-9.58738019107841e-05
1749190060.8111427,-1.917476038215682e-05,-3.834952076431364e-05,-0.00011984225420746952,-9.58738019107841e-05,-4.793690095539205e-05,-4.793690095539205e-05
1749190061.365644,-1.917476038215682e-05,-1.917476038215682e-05,4.793690095539205e-05,0.0,-2.3968450477696024e-05,-2.3968450477696024e-05
1749190061.8456318,0.0,-1.917476038215682e-05,4.793690095539205e-05,0.0,-2.3968450477696024e-05,-2.3968450477696024e-05
1749190062.326389,0.0,0.0,4.793690095539205e-05,0.0,-2.3968450477696024e-05,-2.3968450477696024e-05
1749190062.8809276,0.0,0.0,2.3968450477696024e-05,0.0,0.0,0.0
1749190063.3592997,0.0,0.0,2.3968450477696024e-05,0.0,0.0,0.0
1749190063.8390036,0.0,0.0,-0.0,0.0,0.0,0.0
1749190064.3951685,0.0,0.0,-0.0,0.0,0.0,0.0
1749190064.8720737,0.0,0.0,-0.0,0.0,0.0,0.0
1749190065.351036,0.0,0.0,-0.0,0.0,0.0,0.0
1749190065.835509,0.0,0.0,-0.0,0.0,0.0,0.0
1749190066.386811,0.0,0.0,-0.0,0.0,0.0,0.0
1749190066.8614106,0.02279878966510296,-0.0795944333076477,-0.1395443230867386,0.030919302254915237,0.1883920282125473,0.014381070621311665
1749190067.3386931,0.08505923300981522,-0.30158063769340515,-0.5517057776451111,0.09172726422548294,0.7676375508308411,0.07372695207595825
1749190067.8851814,0.11759880185127258,-0.410569965839386,-0.7533763647079468,0.12120845913887024,1.047804832458496,0.10361561179161072
1749190068.3603415,0.09138690680265427,-0.3205636441707611,-0.5934827923774719,0.09755159169435501,0.811499834060669,0.07672300934791565
1749190068.8317246,0.028781315311789513,-0.09859661757946014,-0.18331071734428406,0.031925976276397705,0.2550243139266968,0.024471787735819817
1749190069.3044605,0.001208009896799922,0.00013422331539914012,-0.00023968450841493905,0.0021092237439006567,-0.0003834952076431364,0.0041705104522407055
1749190069.8455186,-0.10220146924257278,-0.6777894496917725,-0.6289321780204773,1.3064723014831543,0.07868842035531998,-0.002229065867140889
1749190070.321624,0.0005368932615965605,0.0033747577108442783,-0.0027563718613237143,-0.025070998817682266,-0.0009827064350247383,0.0006231797160580754
1749190070.794791,0.00920388475060463,0.036374520510435104,0.008077368140220642,-0.05855492502450943,-0.004002731293439865,0.0001917476038215682
1749190071.3389819,0.05715996026992798,0.42222821712493896,0.2774348258972168,-0.7207552790641785,-0.042520031332969666,7.190534961409867e-05
1749190071.8096688,0.019404856488108635,0.15631264448165894,0.10126670449972153,-0.2610403895378113,-0.01847967505455017,7.190534961409867e-05
1749190072.2858553,0.00013422331539914012,-0.00013422331539914012,0.00023968450841493905,0.0,-0.0009108011145144701,4.793690095539205e-05
1749190072.829187,0.00011504856229294091,-3.834952076431364e-05,0.00014381069922819734,9.58738019107841e-05,-7.190534961409867e-05,2.3968450477696024e-05
1749190073.2997136,-1.917476038215682e-05,-1.917476038215682e-05,7.190534961409867e-05,9.58738019107841e-05,-7.190534961409867e-05,2.3968450477696024e-05
1749190073.7726357,-1.917476038215682e-05,-1.917476038215682e-05,7.190534961409867e-05,4.793690095539205e-05,-4.793690095539205e-05,2.3968450477696024e-05
1749190074.2462177,-1.917476038215682e-05,0.0,4.793690095539205e-05,2.3968450477696024e-05,-2.3968450477696024e-05,0.0
1749190074.7935903,-0.41697433590888977,-0.015684954822063446,-0.01828792877495289,0.036503951996564865,0.003906857687979937,0.009946906939148903
1749190075.265171,-0.9820161461830139,-0.04400607571005821,-0.041681136935949326,0.07986287772655487,0.012942963279783726,0.024663535878062248
1749190075.7362306,-1.0461556911468506,-0.04741918295621872,-0.047577373683452606,0.0848722830414772,0.006807039957493544,0.02713228575885296
1749190076.2807174,-0.6967340707778931,-0.031274035573005676,-0.030919302254915237,0.055870458483695984,0.004506068769842386,0.013638048432767391
1749190076.754042,-0.1291995346546173,-0.0025310683995485306,-0.013326458632946014,0.018335863947868347,0.002229065867140889,0.004458131734281778
1749190077.226905,0.0,-0.00023009712458588183,-0.0004793690168298781,0.0007190534961409867,0.00014381069922819734,0.0004074636672157794
1749190077.6992583,0.0,-0.6297758221626282,-0.35406196117401123,0.9995083808898926,0.0023009711876511574,-0.0011504855938255787
1749190078.2428806,0.0,0.00028762139845639467,-0.0007190534961409867,-0.00028762139845639467,0.00016777915880084038,-0.00016777915880084038
1749190078.7159553,0.0,0.6715192794799805,0.45353102684020996,-1.1540329456329346,-0.009275790303945541,0.0015100124292075634
1749190079.19378,0.0,-0.0004793690168298781,-0.0,0.0007669904152862728,-0.0002636529679875821,0.00033555831760168076
1749190079.7390568,0.26351872086524963,0.02352743037045002,0.01176850963383913,-0.022458437830209732,-0.0020133499056100845,-0.007190535310655832
1749190080.2118099,0.8290591239929199,0.0368347130715847,0.03899667039513588,-0.06392385810613632,-0.01176850963383913,-0.02588592655956745
1749190080.6844673,1.0487635135650635,0.047457531094551086,0.045995455235242844,-0.08235559612512589,-0.015459651127457619,-0.02852245606482029
1749190081.2341511,0.8366906642913818,0.03886723890900612,0.03748665750026703,-0.0656256154179573,-0.014381070621311665,-0.022362563759088516
1749190081.7049155,0.27602067589759827,0.008245146833360195,0.010450244881212711,-0.026221485808491707,-0.002181129064410925,-0.004026699811220169
1749190082.178932,0.0,0.00028762139845639467,0.00045540055725723505,-0.0017257285071536899,-0.0001917476038215682,-0.0004793690168298781
1749190082.6536806,-0.07506918907165527,-0.40775126218795776,-0.6037412881851196,1.027958869934082,0.057739999145269394,-0.0047217849642038345
1749190083.1984427,0.0008436894277110696,0.005656554363667965,-0.0021092237439006567,-0.026820696890354156,-0.0011984225129708648,0.0006231797160580754
1749190083.6703815,0.0,0.0,-0.0,-0.00035952674807049334,4.793690095539205e-05,0.00014381069922819734
1749190084.1421533,0.0,0.04975850135087967,-0.0,-0.05373726785182953,7.190534961409867e-05,7.190534961409867e-05
1749190084.6865962,0.0459619015455246,0.20089396834373474,0.44128313660621643,-0.6443198919296265,-0.035473305732011795,0.0021092237439006567
1749190085.1574647,-0.40548866987228394,-0.01495631318539381,-0.015028218738734722,0.03906857594847679,0.0041705104522407055,0.017784589901566505
1749190085.6348784,-0.9683828949928284,-0.04385267570614815,-0.04580371081829071,0.08120511472225189,0.006471481639891863,0.023489082232117653
1749190086.1111403,-1.0457147359848022,-0.04887646436691284,-0.04736165702342987,0.08659801632165909,0.00906007457524538,0.02773149684071541
1749190086.6550548,-0.6991117596626282,-0.031254857778549194,-0.03269296512007713,0.057452376931905746,0.004601942375302315,0.012895026244223118
1749190087.1253655,-0.1320565789937973,-0.005905826110392809,-0.004625910893082619,0.004554005805402994,0.003954794257879257,0.008029431104660034
1749190087.604738,-0.00028762139845639467,-0.00026844663079828024,-0.0001917476038215682,0.00045540055725723505,0.00016777915880084038,0.00043143212678842247
1749190088.1506157,-0.03606772422790527,-0.2988770008087158,-0.10675548017024994,0.40470728278160095,0.030895333737134933,-0.08796421438455582
1749190088.6215672,9.58738019107841e-05,0.00023009712458588183,-0.0012223910307511687,-0.0006711166352033615,-0.00014381069922819734,0.00016777915880084038
1749190089.095955,0.0645422413945198,0.36612287163734436,0.45218878984451294,-0.817923367023468,-0.0511486753821373,0.1552915871143341
1749190089.5720162,-5.752428114647046e-05,-0.00036432043998502195,-0.00023968450841493905,0.00033555831760168076,-4.793690095539205e-05,-0.0002636529679875821
1749190090.119526,0.37707164883613586,0.17671458423137665,0.3147297203540802,-0.0788082629442215,-0.412281334400177,-0.048703890293836594
1749190090.591036,0.9027285575866699,0.4206942319869995,0.7410086393356323,-0.1890152096748352,-0.9814841151237488,-0.11483284831047058
1749190091.0690067,0.9648739099502563,0.4532146453857422,0.7897365093231201,-0.20864535868167877,-1.0509446859359741,-0.13022059202194214
1749190091.6160517,0.5833537578582764,0.27694106101989746,0.48286840319633484,-0.12449213117361069,-0.6384716033935547,-0.07720237970352173
1749190092.0947936,0.05420704558491707,0.02322063408792019,0.03707919269800186,-0.011984225362539291,-0.05464806780219078,-0.004458131734281778
1749190092.5712683,7.669904152862728e-05,-7.669904152862728e-05,0.0005752427969127893,-0.00011984225420746952,-7.190534961409867e-05,-0.0010306433541700244
1749190093.205901,1.917476038215682e-05,0.0,0.0001917476038215682,0.0,-7.190534961409867e-05,-0.00011984225420746952
1749190093.6730778,1.917476038215682e-05,0.0,7.190534961409867e-05,0.0,-4.793690095539205e-05,-4.793690095539205e-05
1749190094.1804883,0.0,0.0,4.793690095539205e-05,0.0,-2.3968450477696024e-05,-2.3968450477696024e-05
1749190094.661235,0.0,0.0,2.3968450477696024e-05,0.0,-2.3968450477696024e-05,-2.3968450477696024e-05
1749190095.2087638,0.0,0.0,2.3968450477696024e-05,0.0,0.0,-2.3968450477696024e-05
1749190095.693845,0.0,0.0,-0.0,0.0,0.0,0.0
1749190096.1763077,0.0,0.0,-0.0,0.0,0.0,0.0
1749190096.7377512,0.0,0.0,-0.0,0.0,0.0,0.0
1749190097.2507813,0.0,0.0,-0.0,0.0,0.0,0.0
1749190097.723678,0.0,0.0,-0.0,0.0,0.0,0.0
1749190098.2071996,0.0,0.0,-0.0,0.0,0.0,0.0
1749190098.7512975,0.0,0.0,-0.0,0.0,0.0,0.0
1749190099.2563572,0.0,0.0,-0.0,0.0,0.0,0.0
1749190099.7320874,0.0,0.0,-0.0,0.0,0.0,0.0
1749190100.284259,0.0,0.0,-0.0,0.0,0.0,0.0
1749190100.7587178,0.0,0.0,-0.0,0.0,0.0,0.0
1749190101.2574046,0.0,0.0,-0.0,0.0,0.0,0.0
1749190101.8054888,0.0,0.0,-0.0,0.0,0.0,0.0
1749190102.28473,0.0,0.0,-0.0,0.0,0.0,0.0
1749190102.7656474,0.0,0.0,-0.0,0.0,0.0,0.0
1749190103.2419505,0.0,0.0,-0.0,0.0,0.0,0.0
1749190103.7906406,0.0,0.0,-0.0,0.0,0.0,0.0
1749190104.2714903,0.0,0.0,-0.0,0.0,0.0,0.0
1749190104.7445152,0.0,0.0,-0.0,0.0,0.0,0.0
1749190105.2873042,0.0,0.0,-0.0,0.0,0.0,0.0
1749190105.7597613,0.0,0.0,-0.0,0.0,0.0,0.0
1749190106.2342484,0.0,0.0,-0.0,0.0,0.0,0.0
1749190106.8287072,0.0,0.0,-0.0,0.0,0.0,0.0
1749190107.2917094,0.0,0.0,-0.0,0.0,0.0,0.0
1749190107.7546442,0.0,0.0,-0.0,0.0,0.0,0.0
1749190108.219938,0.0,0.0,-0.0,0.0,0.0,0.0
1749190108.7573469,0.0,0.0,-0.0,0.0,0.0,0.0
1749190109.2205865,0.0,0.0,-0.0,0.0,0.0,0.0
1749190109.6786702,0.0,0.0,-0.0,0.0,0.0,0.0
